#-------------------------------------------
# Food Diary Report - Detailed Report,"miércoles, septiembre 1, 2021","jueves, septiembre 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1561,"75,91",139,"74,08"
Desayuno,313,"18,97","22,12","12,93"
Almuerzo,484,"23,17","42,52","26,65"
Cena,458,"21,24","43,5","22,28"
Pasa Bocas / Otros,306,"12,53","30,86","12,21"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)
  Guisantes,40,"0,2","0,036","7,23","2,6","2,84","2,71",2,0,122
   50 g
  Paella,379,"13,06","2,863","40,03","1,4","1,49","22,85",1450,58,382
   1 porción (240 g)
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
  FuturNatillas de Avena,210,"9,35","5,312","22,83","0,2","23,57","9,49",129,28,418
   1 porción
 Cena,336,"8,45","1,804","30,82","3,1","1,31","32,9",435,63,1097
  Salmón,204,"8,3","1,764",0,0,0,"30,27",64,63,592
   140 g
  Patatas Cocidas,132,"0,15","0,04","30,82","3,1","1,31","2,63",371,0,505
   154 g
 Pasa Bocas / Otros,,,,,,,,,,

"domingo, septiembre 12, 2021",2105,"99,76","36,092","219,62","17,65","72,32","88,36","1796,97",393,1655
 Desayuno,617,"21,72","7,26","86,62","5,95","40,02",16,"286,62",,
  Chocapic Chocapic,196,"2,4",1,"38,1","2,95","18,5","4,2","0,05",,
   50 g
  Milbona Leche UHT Entera,139,"7,92","5,06","10,12",,"10,12","6,82",286,,
   220 ml
  Gullón Galletas Avena Bio Organic,282,"11,4","1,2","38,4",3,"11,4","4,98","0,57",,
   60 g
 Almuerzo,733,"35,23","19,133","60,97",5,"30,46","47,56","492,35",28,1539
  Zanahoria,25,"0,15","0,023","5,84","1,7","2,77","0,57",42,0,195
   1 mediana
  Calabacines Tiernos,21,"0,4","0,083","3,11","1,1",,"2,71",3,0,459
   100 g
  Cebollas,12,"0,02","0,007","2,78","0,4","1,18","0,25",1,0,40
"   1/4 mediana (6,5 cm de diámetro)"
  Papa al Horno (sin Comer la Cáscara),101,"0,11","0,028","23,53","1,6","1,86","2,14",316,0,427
   110 g
  Mercadona Entrecot Angus ,364,"25,2","13,68","2,88",0,"1,08","32,4","1,35",,
   180 g
  FuturNatillas de Avena,210,"9,35","5,312","22,83","0,2","23,57","9,49",129,28,418
   1 porción
 Cena,755,"42,81","9,699","72,03","6,7","1,84","24,8",1018,365,116
  Patatas Fritas,545,"28,06","6,429","71,24","6,7","1,18","6,95",604,0,
   200 g
  Huevo Frito,155,"11,75","3,27","0,74",0,"0,66","10,85",414,365,116
   2 medianos
  Serrano Jamón Serrano,55,3,,"0,05",,,7,,,
   25 g
 Pasa Bocas / Otros,,,,,,,,,,

"lunes, septiembre 13, 2021",1472,"85,02","39,507",100,"13,72","41,28","67,82","1361,49",371,805
 Desayuno,497,"25,21","15,89","41,36","0,3","31,66","23,46","26,4",,
  Central Lechera Asturiana Leche UHT Entera,416,"23,76","15,84","30,36",0,"30,36","20,46","26,4",,
   660 ml
  Cola Cao Cola Cao 0%,81,"1,45","0,05",11,"0,3","1,3",3,0,,
   25 g
 Almuerzo,194,"9,87","2,977","12,72","3,2","4,94","14,56",291,371,805
  Cebollas,12,"0,02","0,007","2,78","0,4","1,18","0,25",1,0,40
"   1/4 mediana (6,5 cm de diámetro)"
  Calabacines Tiernos,21,"0,4","0,083","3,11","1,1",,"2,71",3,0,459
   100 g
  Zanahoria,25,"0,15","0,023","5,84","1,7","2,77","0,57",42,0,195
   1 mediana
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
 Cena,465,"25,04","13,76","35,66",9,"2,02",20,"1044,09",,
  Eroski Tostadas de Centeno y Sésamo,229,"4,56","0,66","34,8",9,"1,62","7,8",264,,
   60 g
  Froiz Rulo de Cabra,194,"17,4","12,6","0,42",,"0,3",9,780,,
   60 g
  Italiamo Pesto Verde,20,"1,88","0,5","0,42",,"0,1","0,4","0,09",,
   5 g
  Serrano Jamón Serrano,22,"1,2",,"0,02",,,"2,8",,,
   10 g
 Pasa Bocas / Otros,316,"24,9","6,88","10,26","1,22","2,66","9,8",0,,
  DIA Yogur Natural,69,"3,1",,"5,9",,,"4,3",,,
"   1 porción, 125 g"
  Eroski Nueces sin Cáscara,130,"12,6","1,28","0,56","1,22","0,46",3,0,,
   20 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g

"martes, septiembre 14, 2021",1506,"93,26","17,42","98,52","17,02","40,05","58,16","1720,14",372,354
 Desayuno,367,"27,58","10,84","13,44","1,22","9,59","13,42",165,,
